Twiggs,45,42,62,51,60,39,64,49
Union,60,76,119,67,36,58,52,40
Upson,192,191,209,215,188,165,160,142
Walker,101,103,171,141,114,122,189,169
Walton,386,344,378,413,483,520,565,421
Ware,409,413,423,346,285,236,220,222
Warren,36,48,69,61,68,65,46,40
Washington,139,143,143,157,158,137,139,123
Wayne,195,232,264,263,230,189,171,163
Webster,6,7,4,6,11,4,9,6
Wheeler,19,20,25,15,20,18,17,14
White,85,75,79,77,72,95,85,81
Whitfield,277,282,290,260,253,229,259,200
Wilcox,32,28,40,36,38,39,33,20
Wilkes,69,47,58,87,73,91,115,98
Wilkinson,53,45,51,36,51,40,46,40
Worth,141,144,159,125,147,123,174,155
