County,2010,2011,2012,2013,2014,2015,2016,2017,Selected Years Total
Jeff Davis,159,263.8,745.6,586.5,619.2,516.1,524.3,439.3,481.3
Jefferson,"1,054.30",743.6,353,484.1,633,515.3,710,575.2,635.7
Jenkins,"1,665.70","1,190.50","1,356.80","1,100.40",778.1,658.7,971.9,673,"1,044.20"
Johnson,491.4,350.9,384,409.5,381.4,414.3,557.6,347.4,416.6
Jones,359.7,227.9,304.4,273,295.3,301.8,366.8,340.7,308.7
Lamar,447.2,522.2,492.9,456.6,582.2,697.8,433.2,344.1,496.5
Lanier,651.8,711.3,"1,105.80",730.2,742.3,911.6,596.2,460.4,738.7
Laurens,749.4,629.8,682.8,697.9,815,833.8,688.2,627.5,715.7
Lee,359.2,381.5,306.1,302.7,376.8,226,136.3,135.7,277.2
Liberty,526.9,620.3,554.4,611.2,658,609.9,556.2,521.3,582.9
Lincoln,326.4,279.8,284.3,567.7,367.4,599.5,472.7,393.4,410.8
Long,280,376.6,567,511.3,479.2,445.5,450.2,415.5,443.1
Lowndes,562.3,596.1,517.7,534.9,449.2,386.3,349.8,346.4,466.9
Lumpkin,276.7,363,503.1,394.6,423.4,436.2,388,276.8,382.4
McDuffie,896,992,"1,089.40","1,265.90","1,113.70",923.9,916.7,767.5,995.5
McIntosh,196.2,275.2,267.4,235.6,316.6,379.4,229.8,319,277.3
Macon,675.2,673.4,631,485.4,565.5,344.8,431.2,277.9,514.7
Madison,284,254.3,247.1,256.6,282.6,358.6,284.5,266.2,279.4
Marion,342.7,205.8,183.7,300.9,295.6,296.8,316.8,248.5,273.8
Meriwether,421.1,393.2,667.5,541.6,391.5,519.1,493.5,465.6,486.3
Miller,898.3,749.1,787.4,657.5,637.8,546.6,388.1,342.6,628.4
Mitchell,808.5,720.3,643.8,"1,045.80",996.9,761.9,854.9,771.6,825.1
Monroe,483.6,300.5,334.1,403.9,421.4,494.4,498.1,346.7,410.6
Montgomery,438.8,397.1,370.2,421.2,289.2,223.4,353.2,299,349.3
Morgan,419.9,478.8,492.1,382.4,657.2,698.2,715.5,771.2,578.2
Murray,437.3,346.3,274.2,328.5,446.6,260.3,414.6,316.7,353
Muscogee,725.3,593.5,641.6,743.5,896,718.9,801.1,887.9,751.3
Newton,626.5,631.9,843.3,712.6,736.9,707.3,790.7,762.4,727.3
Oconee,139.5,128.9,181.4,185.1,205.2,203,124.9,102.6,158.3
Oglethorpe,288.2,333.7,389.9,433,524.8,437.1,355.2,336.1,386.9
Paulding,408.4,411,439.9,452.5,549.7,570.2,638.5,531.2,502.6
Peach,894,837.4,865.3,644.1,761.5,688.6,821.6,734.3,781.7
Pickens,299,282.2,348.5,280.6,316.7,465.2,441.1,411.5,356.9
